"TIME","INPUT","OUTPUT"
0,0,2.89593e-006
0.046,0,2.89593e-006
0.0650455,0,2.89593e-006
0.065045501,0,2.89593e-006
0.065045503,0,2.89593e-006
0.065045507,0,2.89593e-006
0.065045515,0,2.89593e-006
0.065045531,0,2.89593e-006
0.065045563,0,2.89593e-006
0.065045627,0,2.89593e-006
0.065045755,0,2.89593e-006
0.065046011,0,2.89593e-006
0.065046523,0,2.89593e-006
0.065047547,0,2.89593e-006
0.065049595,0,2.89593e-006
0.065053691,0,2.89593e-006
0.065061883,0,2.89593e-006
0.0650755,0,2.89593e-006
0.065075501,0,2.89593e-006
0.065075503,0,2.89593e-006
0.065075507,0,2.89593e-006
0.065075515,0,2.89593e-006
0.065075531,0,2.89593e-006
0.065075563,0,2.89593e-006
0.065075627,0,2.89593e-006
0.065075755,0,2.89593e-006
0.065076011,0,2.89593e-006
0.065076523,0,2.89593e-006
0.065077547,0,2.89593e-006
0.065079595,0,2.89593e-006
0.065083691,0,2.89593e-006
0.065091883,0,2.89593e-006
0.065108267,0,2.89593e-006
0.065141035,0,2.89593e-006
0.065206571,0,2.89593e-006
0.065337643,0,2.89593e-006
0.065599787,0,2.89593e-006
0.066124075,0,2.89593e-006
0.067172651,0,2.89593e-006
0.069269803,0,2.89593e-006
0.073464107,0,2.89593e-006
0.081852715,0,2.89593e-006
0.098629931,0,2.89593e-006
0.132184363,0,2.89593e-006
0.199293227,0,2.89593e-006
0.324293125,0,0.000441705
0.324293135,0,0.000441705
0.324293155,0,0.000441705
0.324293195,0,0.000441705
0.324293275,0,0.000441705
0.324293435,0,0.000441706
0.324293755,0,0.000441707
0.324294395,0,0.000441709
0.324295675,0,0.000441714
0.324298235,0,0.000441723
0.324303355,0,0.000441741
0.324313595,0,0.000441773
0.324334075,0,0.000441838
0.324375035,0,0.000441968
0.324456955,0,0.000442227
0.324620795,0,0.000442747
0.324948475,0,0.000443786
0.325603835,0,0.000445863
0.326914555,0,0.000450018
0.329535995,0,0.000458246
0.334778875,0,0.000474703
0.345264635,0,0.000507093
0.366236155,0,0.000569893
0.408179195,0,0.000687867
0.492065275,0,0.000897777
0.61706525,0,0.00114873
0.61706526,0,0.00114873
0.61706528,0,0.00114873
0.61706532,0,0.00114873
0.6170654,0,0.00114873
0.61706556,0,0.00114873
0.61706588,0,0.00114873
0.61706652,0,0.00114873
0.6170678,0,0.00114873
0.61707036,0,0.00114874
0.61707548,0,0.00114875
0.61708572,0,0.00114877
0.6171062,0,0.0011488
0.61714716,0,0.00114887
0.61722908,0,0.00114902
0.61739292,0,0.00114931
